SSNAP name,Postcode,Hospital_name,Country,Strategic Clinical Network,Health Board / Trust,Stroke Team,Easting,Northing,long,lat,hospital_city,LSOA11CD
Queens Hospital Romford HASU,RM70AG,RM70AG,England,London SCN,Barking, Havering and Redbridge University Hospitals NHS Trust,551118,187780,0.179030640661934,51.5686465521504,Romford,E01002248
Royal London Hospital HASU,E11BB,E11BB,England,London SCN,Barts Health NHS Trust,The Royal London Hospital,534829,181798,-0.0581329916047372,51.5190178361295,Royal London,E01004322
Charing Cross Hospital HASU,SW66SX,SW66SX,England,London SCN,Imperial College Healthcare NHS Trust,"Charing Cross Hospital, London",524226,176487,-0.212736111308184,51.4737165811988,Charing Cross,E01001906
King's College Hospital HASU,SE59RW,SE59RW,England,London SCN,King's College Hospital NHS Foundation Trust,"King's College Hospital, London",532536,176228,-0.0932514945350423,51.4695052907757,Kings College,E01003076
Princess Royal University Hospital HASU,BR68ND,BR68ND,England,London SCN,King's College Hospital NHS Foundation Trust,Princess Royal University Hospital,543443,165032,0.0591464390000555,51.3662434074157,Princess Royal,E01000751
Northwick Park Hospital HASU,HA13UJ,HA13UJ,England,London SCN,London North West Healthcare NHS Trust,"Northwick Park Hospital, Harrow",516376,187616,-0.322037114413578,51.5754068358267,Harrow,E01000568
St George's Hospital HASU,SW170QT,SW170QT,England,London SCN,St George's Healthcare NHS Trust,"St George's Hospital, London",526925,171324,-0.175746211515488,51.4267183590926,St George’s,E01004617
University College Hospital HASU,NW12BU,NW12BU,England,London SCN,University College London Hospitals NHS Foundation Trust,"University College London Hospital, London",529347,182309,-0.136910525787811,51.5248907722667,UCL,E01000854
Royal Derby Hospital,DE223NE,DE223NE,England,East Midlands SCN,Derby Hospitals NHS Foundation Trust,Royal Derby Hospital,432746,334973,-1.51451424931686,52.9111927427846,Derby,E01013543
Northampton General Hospital,NN15BD,NN15BD,England,East Midlands SCN,Northampton General Hospital NHS Trust,Northampton General Hospital,476319,260349,-0.883844017871808,52.2360536123159,Northampton,E01027224
Queen's Medical Centre - Nottingham,NG72UH,NG72UH,England,East Midlands SCN,Nottingham University Hospitals NHS Trust,Queen's Medical Centre - Nottingham,454811,338760,-1.185799590012,52.9434388160395,Nottingham,E01033410
None (for 72h care),NG51PB,NG51PB,England,East Midlands SCN,Nottingham University Hospitals NHS Trust,Nottingham City Hospital,456490,344070,-1.15989255725869,52.9909926915038,Nottingham,E01013967
Kings Mill Hospital,NG174JL,NG174JL,England,East Midlands SCN,Sherwood Forest Hospitals NHS Foundation Trust,"Kings Mill Hospital, Mansfield",451460,359962,-1.23228437448848,53.1343398097348,Mansfield,E01027985
Lincoln County Hospital,LN25QY,LN25QY,England,East Midlands SCN,United Lincolnshire Hospitals NHS Trust,Lincoln County Hospital,498908,371749,-0.519635111940644,53.2335753886509,Lincoln,E01026125
Pilgrim Hospital,PE219QS,PE219QS,England,East Midlands SCN,United Lincolnshire Hospitals NHS Trust,"Pilgrim Hospital, Boston",533673,345607,-0.0099677032921608,52.9911250993485,Boston,E01026021
Leicester Royal Infirmary,LE15WW,LE15WW,England,East Midlands SCN,University Hospitals of Leicester NHS Trust,Leicester Royal Infirmary,458660,303691,-1.13480277925091,52.6278165276874,Leicester,E01013647
Basildon University Hospital,SS165NL,SS165NL,England,East of England SCN,Basildon and Thurrock University Hospitals NHS Foundation Trust,Basildon University Hospital,569975,187156,0.450556811987561,51.5576770854241,Basildon,E01021297
Bedford Hospital,MK429DJ,MK429DJ,England,East of England SCN,Bedford Hospital NHS Trust,Bedford Hospital,504661,248873,-0.472495058765349,52.1282645114693,Bedford,E01017473
Addenbrooke's Hospital,CB20QQ,CB20QQ,England,East of England SCN,Cambridge University Hospitals NHS Foundation Trust,"Addenbrooke's Hospital, Cambridge",546375,254988,0.139114480160586,52.1737406819892,Cambridge,E01017995
Colchester General Hospital,CO45JL,CO45JL,England,East of England SCN,Colchester Hospital University NHS Foundation Trust,Colchester General Hospital,599511,227486,0.899182347494127,51.9101640973466,Colchester,E01021682
Lister Hospital,SG14AB,SG14AB,England,East of England SCN,East and North Hertfordshire NHS Trust,"Lister Hospital, Stevenage",522999,226630,-0.212726033417137,51.9246106367034,Stevenage,E01023800
Ipswich Hospital,IP45PD,IP45PD,England,East of England SCN,Ipswich Hospital NHS Trust,Ipswich Hospital,619336,244656,1.1979147145838,52.0568488550002,Ipswich,E01029965
James Paget Hospital,NR316LA,NR316LA,England,East of England SCN,James Paget University Hospitals NHS Foundation Trust,"James Paget Hospitals, Great Yarmouth",652093,302477,1.71797997370448,52.5616719862226,Great Yarmouth,E01026617
Luton and Dunstable Hospital,LU40DZ,LU40DZ,England,East of England SCN,Luton and Dunstable University Hospital NHS Foundation Trust,Luton and Dunstable Hospital,504961,222970,-0.476044000548676,51.8954050732183,Luton and Dunstable,E01015718
Broomfield Hospital,CM17ET,CM17ET,England,East of England SCN,Mid Essex Hospital Services NHS Trust,"Broomfield Hospital, Chelmsford",570230,211319,0.465993496844765,51.7746544008667,Chelmsford,E01021542
Norfolk and Norwich University Hospital,NR47UY,NR47UY,England,East of England SCN,Norfolk and Norwich University Hospitals NHS Foundation Trust,Norfolk and Norwich University Hospital,618143,307129,1.22106688985047,52.6180857993543,Norwich,E01026883
Peterborough City Hospital,PE39GZ,PE39GZ,England,East of England SCN,Peterborough and Stamford Hospitals NHS Foundation Trust,Peterborough City Hospital,516674,299847,-0.279385619734279,52.5839210847189,Peterborough,E01015691
Queen Elizabeth Hospital Kings Lynn,PE304ET,PE304ET,England,East of England SCN,Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,"Queen Elizabeth Hospital, Kings Lynn",565228,320492,0.44698404142333,52.756772402313,Kings Lynn,E01026714
Southend Hospital,SS00RY,SS00RY,England,East of England SCN,Southend University Hospital NHS Foundation Trust,Southend Hospital,586491,187309,0.688617436073188,51.5538375205588,Southend,E01015858
Watford General Hospital,WD180HB,WD180HB,England,East of England SCN,West Hertfordshire Hospitals NHS Trust,Watford General Hospital,510505,195664,-0.404187444550669,51.6489209238077,Watford,E01023902
West Suffolk Hospital,IP332QZ,IP332QZ,England,East of England SCN,West Suffolk NHS Foundation Trust,"West Suffolk Hospital, Bury St Edmunds",585110,262732,0.709175611560873,52.2316622761548,Bury St Edmunds,E01030142
Princess Alexandra Hospital,CM201QX,CM20 1QX,England,East of England SCN,Princess Alexandra Hospital NHS Trust,"Princess Alexandra Hospital, Harlow",543989,210152,0.0855,51.7715,Harlow,E01021843
Queens Hospital Burton upon Trent,DE130RB,DE130RB,England,West Midlands SCN,Burton Hospitals NHS Foundation Trust,"Queens Hospital, Burton upon Trent",423255,324526,-1.65638366252344,52.8177750228077,Burton upon Trent,E01029435
Russells Hall Hospital,DY12HQ,DY12HQ,England,West Midlands SCN,Dudley Group of Hospitals NHS Foundation Trust,Russells Hall Hospital,392052,289456,-2.11851753607567,52.5029438515581,Dudley,E01009884
George Eliot Hospital,CV107DJ,CV107DJ,England,West Midlands SCN,George Eliot Hospital NHS Trust,"George Eliot Hospital, Nuneaton",435493,290649,-1.47843913962804,52.5125803721024,Nuneaton,E01031049
Birmingham Heartlands Hospital,B95SS,B95SS,England,West Midlands SCN,Heart of England NHS Foundation Trust,Birmingham Heartlands Hospital,411645,286935,-1.82996554832526,52.4802180240312,Birmingham,E01009341
New Cross Hospital,WV100QP,WV100QP,England,West Midlands SCN,Royal Wolverhampton NHS Trust,"New Cross Hospital, Wolverhampton",393625,300219,-2.09555502091003,52.5997224486091,Wolverhampton,E01010476
Sandwell District Hospital,B714HJ,B714HJ,England,West Midlands SCN,Sandwell and West Birmingham Hospitals NHS Trust,"Sandwell District Hospital, West Bromwich",400919,292165,-1.98788440403735,52.5273565194392,West Bromwich,E01010104
Princess Royal Hospital Telford,TF16TF,TF16TF,England,West Midlands SCN,Shrewsbury and Telford Hospital NHS Trust,"Princess Royal Hospital, Telford",365542,312839,-2.51149065773073,52.7121067752855,Telford,E01014102
Warwick Hospital,CV345BW,CV345BW,England,West Midlands SCN,South Warwickshire NHS Foundation Trust,Warwick Hospital,428507,265853,-1.58347787164848,52.2900769531026,Warwick,E01031323
Queen Elizabeth Hospital Edgbaston,B152TH,B152TH,England,West Midlands SCN,University Hospitals Birmingham NHS Foundation Trust,"Queen Elizabeth Hospital, Birmingham",404278,283916,-1.93847612191795,52.4531832173322,Birmingham,E01033562
University Hospital Coventry,CV22DX,CV22DX,England,West Midlands SCN,University Hospitals Coventry and Warwickshire NHS Trust,"University Hospital, Coventry",438289,280506,-1.43840317011227,52.4212107828131,Coventry,E01009580
Royal Stoke University Hospital,ST46QG,ST46QG,England,West Midlands SCN,University Hospitals of North Midlands NHS Trust,Royal Stoke University Hospital,385678,345211,-2.21487229427689,53.0040206722322,Stoke,E01014294
None (for 72h care),WS29PS,WS29PS,England,West Midlands SCN,Walsall Healthcare NHS Trust,"Manor Hospital, Walsall",400170,298280,-1.99892359666093,52.582330002189,Walsall,E01010363
Worcestershire Royal Hospital,WR51DD,WR51DD,England,West Midlands SCN,Worcestershire Acute Hospitals NHS Trust,"Worcestershire Royal Hospital, Worcester",387713,254788,-2.18115804912882,52.1911930883414,Worcester,E01032309
Hereford County Hospital,HR12ER,HR12ER,England,West Midlands SCN,Wye Valley NHS Trust,Hereford County Hospital,351710,240083,-2.70570882496915,52.0570128114409,Hereford,E01014011
University Hospital Aintree,L97AL,L97AL,England,Cheshire and Mersey SCN,Aintree University Hospitals NHS Foundation Trust,"University Hospital Aintree, Liverpool",338285,397024,-2.93110382448232,53.4663225961447,Aintree,E01006659
Countess of Chester Hospital,CH21UL,CH21UL,England,Cheshire and Mersey SCN,Countess of Chester Hospital NHS Foundation Trust,"Countess of Chester Hospital, Chester",340130,368347,-2.89788420554075,53.2088002915049,Chester,E01018374
Leighton Hospital,CW14QJ,CW14QJ,England,Cheshire and Mersey SCN,Mid Cheshire Hospitals NHS Foundation Trust,"Leighton Hospital, Crewe",368248,357940,-2.4758630655142,53.1176851365896,Crewe,E01018480
Royal Liverpool University Hospital,L78XP,L78XP,England,Cheshire and Mersey SCN,Royal Liverpool and Broadgreen University Hospitals NHS Trust,Royal Liverpool University Hospital,335962,390733,-2.96480871412513,53.4095061521331,Liverpool,E01006747
Southport and Formby District General,PR86PN,PR86PN,England,Cheshire and Mersey SCN,Southport and Ormskirk Hospital NHS Trust,Southport and Formby District General,335417,415683,-2.97815935014415,53.6336669723685,Southport,E01006999
Whiston Hospital HASU,L355DR,L355DR,England,Cheshire and Mersey SCN,St Helens and Knowsley Teaching Hospitals NHS Trust,"Whiston Hospital, Prescot",347931,391806,-2.78495363551978,53.4204691574942,Prescot,E01006499
Warrington Hospital,WA51QG,WA51QG,England,Cheshire and Mersey SCN,Warrington and Halton Hospitals NHS Foundation Trust,Warrington Hospital,359485,388745,-2.61071739057057,53.3939731769586,Warrington,E01012457
Wirral Arrowe Park Hospital,CH495PE,CH495PE,England,Cheshire and Mersey SCN,Wirral University Teaching Hospital NHS Foundation Trust,"Arrowe Park Hospital, Wirral",327162,386488,-3.09618396895481,53.3702136339658,Wirral,E01007251
Blackpool Victoria Hospital,FY38NR,FY38NR,England,Manchester, Lancashire & S.Cumbria SCN,Blackpool Teaching Hospitals NHS Foundation Trust,333194,436522,-3.01627940937185,53.8206603713282,Blackpool,E01012722
