stroke_team,samuel2,samuel3
Addenbrooke's Hospital,1,1
Basildon University Hospital,1,1
Blackpool Victoria Hospital,1,1
Bradford and Airedale SU,1,1
Bristol and Weston SU,0,1
Bronglais Hospital,1,1
Broomfield Hospital,1,1
Calderdale Royal Hospital,1,1
Charing Cross Hospital HASU,1,1
Cheltenham & Gloucester Hospitals,0,1
Chesterfield Royal,1,1
Colchester General Hospital,1,1
Countess of Chester Hospital,1,1
Cumberland Infirmary,1,1
Darent Valley Hospital,1,1
Derriford Hospital,1,1
Doncaster Royal Infirmary,1,1
Dorset County Hospital,1,1
East Kent HASU,0,1
East Surrey Hospital,1,1
Eastbourne District General Hospital,1,1
Epsom Hospital,1,1
Fairfield General Hospital,1,1
Frimley Park Hospital,1,1
Furness General Hospital,1,1
Glan Clwyd District General Hospital,1,1
Gloucestershire Royal Hospital,1,0
Grange University Hospital,1,1
Great Western Hospital Swindon,1,1
Hereford County Hospital,1,1
Hull Royal Infirmary,1,1
Invicta Ward Kent and Canterbury Hospital,1,0
Ipswich Hospital,1,1
James Cook University Hospital,1,1
James Paget Hospital,1,1
John Radcliffe Hospital,1,1
King's College Hospital HASU,1,1
Kings Mill Hospital,1,1
Leeds General Infirmary,1,1
Leicester Royal Infirmary,1,1
Leighton Hospital,1,1
Lincoln County Hospital,1,1
Lister Hospital,1,1
Luton and Dunstable Hospital,1,1
Maelor Hospital,1,1
Maidstone District General Hospital,1,1
Medway Maritime Hospital,1,1
Midland Metropolitan University Hospital (MMUH) - Acute Stroke Services,0,1
Milton Keynes General Hospital,1,1
Morriston Hospital,1,1
Musgrove Park Hospital,1,1
New Cross Hospital,1,1
Norfolk and Norwich University Hospital,1,1
North Bristol Hospitals,1,0
North Devon District Hospital,1,1
Northampton General Hospital,1,1
Northumbria Specialist Emergency Care Hospital HASU,1,1
Northwick Park Hospital HASU,1,1
Peterborough City Hospital,1,1
Pinderfields Hospital,1,1
Prince Charles Hospital,1,0
Prince Philip Hospital,1,1
Princess Of Wales Hospital,1,0
Princess Royal Hospital Telford,1,1
Princess Royal University Hospital HASU,1,1
Queen Alexandra Hospital Portsmouth,1,1
Queen Elizabeth Hospital Edgbaston,1,1
Queen Elizabeth Hospital Kings Lynn,1,1
Queen Elizabeth the Queen Mother Hospital,1,0
Queen's Medical Centre - Nottingham,1,1
Queens Hospital Romford HASU,1,1
Royal Berkshire Hospital,1,1
Royal Blackburn Hospital,1,1
Royal Cornwall Hospital,1,1
Royal Derby Hospital,1,1
Royal Devon and Exeter Hospital,1,1
Royal Glamorgan,0,1
Royal Hallamshire Hospital,1,1
Royal Hampshire County Hospital,1,1
Royal Lancaster Infirmary,1,1
Royal Liverpool University Hospital,1,1
Royal London Hospital HASU,1,1
Royal Preston Hospital,1,1
Royal Stoke University Hospital,1,1
Royal Sussex County Hospital,1,1
Royal United Hospital Bath,1,1
Royal Victoria Infirmary,1,1
Russells Hall Hospital,1,1
Salford Royal Hospital,1,1
Salisbury District Hospital,1,1
Sandwell District Hospital,1,1
Scunthorpe General Hospital,1,1
Southampton General Hospital,1,1
Southend Hospital,1,1
St George's Hospital HASU,1,1
St Mary's Hospital Newport,1,1
St Peter's Hospital,1,1
St Richards Hospital,1,1
Stepping Hill Hospital,1,1
Sunderland Royal Hospital,1,1
Torbay Hospital,1,1
University College Hospital HASU,1,1
University Hospital Aintree,1,1
University Hospital Coventry,1,1
University Hospital of North Durham,1,1
University Hospital of Wales,1,1
University Hospitals Bristol Inpatient Team,1,1
University Hospitals Dorset Stroke Service,1,1
University Hospitals of North Tees and Hartlepool,1,1
Warwick Hospital,1,1
Watford General Hospital,1,1
West Suffolk Hospital,1,1
West Wales General,1,1
Weston General Hospital,1,0
Whiston Hospital HASU,1,1
William Harvey Hospital,1,0
Wirral Arrowe Park Hospital,1,1
Withybush General Hospital,1,1
Worcestershire Royal Hospital,1,1
Worthing Hospital,1,1
Wycombe General Hospital,1,1
Yeovil District Hospital,1,1
York Hospital,1,1
Ysbyty Gwynedd,1,1
